date,quiet luxury,neutral fashion,minimalist fashion,old money aesthetic,capsule wardrobe
2011-04-01,1,1,1,0,2
2011-05-01,0,1,1,0,2
2011-06-01,1,1,1,0,1
2011-07-01,1,1,1,0,1
2011-08-01,1,1,1,0,2
2011-09-01,1,1,1,0,1
2011-10-01,1,1,2,0,1
2011-11-01,1,1,1,0,1
2011-12-01,1,1,1,0,1
2012-01-01,1,1,1,0,1
2012-02-01,1,1,1,0,1
2012-03-01,1,1,2,0,2
2012-04-01,0,1,1,0,1
2012-05-01,1,1,2,0,1
2012-06-01,1,1,1,0,2
2012-07-01,1,1,2,0,2
2012-08-01,1,0,2,0,2
2012-09-01,1,1,2,0,2
2012-10-01,0,1,2,0,1
2012-11-01,1,1,2,0,1
2012-12-01,1,1,2,0,1
2013-01-01,1,1,2,0,2
2013-02-01,1,1,2,0,2
2013-03-01,1,1,2,0,2
2013-04-01,1,1,2,0,2
2013-05-01,1,1,3,0,2
2013-06-01,1,0,2,0,2
2013-07-01,1,1,2,0,2
2013-08-01,1,1,3,0,3
2013-09-01,1,1,3,0,3
2013-10-01,1,1,3,0,2
2013-11-01,1,1,3,0,2
2013-12-01,1,1,2,0,2
2014-01-01,1,1,3,0,3
2014-02-01,1,1,3,0,3
2014-03-01,1,1,3,0,3
2014-04-01,1,1,3,0,3
2014-05-01,1,1,4,0,3
2014-06-01,1,1,3,0,3
2014-07-01,1,1,4,0,3
2014-08-01,1,1,4,0,4
2014-09-01,1,1,4,0,4
2014-10-01,1,1,4,0,4
2014-11-01,1,1,4,0,3
2014-12-01,0,1,4,0,3
2015-01-01,1,1,5,0,5
2015-02-01,1,1,4,0,5
2015-03-01,1,2,4,0,5
2015-04-01,1,1,5,0,10
2015-05-01,1,1,5,0,10
2015-06-01,1,1,5,0,7
2015-07-01,1,1,5,0,7
2015-08-01,1,1,5,0,8
2015-09-01,0,1,5,0,8
2015-10-01,1,2,5,0,7
2015-11-01,1,1,5,0,6
2015-12-01,1,1,5,0,6
2016-01-01,1,2,6,0,8
2016-02-01,1,2,6,0,9
2016-03-01,1,2,6,0,10
2016-04-01,1,2,6,0,9
2016-05-01,1,1,5,0,9
2016-06-01,1,2,5,0,10
2016-07-01,1,1,5,0,9
2016-08-01,1,1,5,0,9
2016-09-01,1,1,6,0,10
2016-10-01,1,2,5,0,8
2016-11-01,1,1,6,0,7
2016-12-01,1,2,6,0,7
2017-01-01,1,2,5,0,9
2017-02-01,1,2,6,0,10
2017-03-01,1,2,6,0,11
2017-04-01,1,2,6,0,11
2017-05-01,1,2,5,0,10
2017-06-01,2,1,5,0,9
2017-07-01,1,1,5,0,9
2017-08-01,1,1,5,0,10
2017-09-01,1,2,5,0,11
2017-10-01,1,2,6,0,9
2017-11-01,1,2,6,0,8
2017-12-01,1,1,5,0,8
2018-01-01,1,2,5,0,10
2018-02-01,1,2,6,0,10
2018-03-01,1,2,6,0,11
2018-04-01,3,1,5,0,11
2018-05-01,2,2,5,0,9
2018-06-01,2,1,5,0,9
2018-07-01,2,1,5,0,9
2018-08-01,1,2,5,0,11
2018-09-01,1,2,5,0,11
2018-10-01,1,2,5,0,10
2018-11-01,1,2,5,0,8
2018-12-01,1,1,4,0,8
2019-01-01,1,1,4,0,10
2019-02-01,1,2,4,0,10
2019-03-01,1,2,4,0,11
2019-04-01,1,2,4,0,10
2019-05-01,1,2,4,0,9
2019-06-01,1,1,5,0,9
2019-07-01,1,1,4,0,9
2019-08-01,1,1,5,0,12
2019-09-01,1,2,4,0,11
2019-10-01,1,2,4,0,10
2019-11-01,1,2,4,0,9
2019-12-01,1,1,4,0,8
2020-01-01,1,2,4,0,11
2020-02-01,1,2,5,0,11
2020-03-01,1,2,4,0,7
2020-04-01,1,2,4,0,7
2020-05-01,1,2,5,0,9
2020-06-01,1,2,5,0,8
2020-07-01,1,2,5,0,9
2020-08-01,1,2,5,0,9
2020-09-01,1,2,5,0,10
2020-10-01,1,2,4,0,8
2020-11-01,1,2,3,0,8
2020-12-01,1,2,3,0,6
2021-01-01,1,2,4,0,10
2021-02-01,1,2,4,0,8
2021-03-01,1,2,4,0,8
2021-04-01,1,2,3,0,9
2021-05-01,1,2,4,0,8
2021-06-01,2,2,4,0,8
2021-07-01,2,2,3,1,8
2021-08-01,2,2,4,1,9
2021-09-01,1,2,5,1,10
2021-10-01,2,2,4,1,9
2021-11-01,1,2,4,1,8
2021-12-01,2,2,4,1,8
2022-01-01,2,3,5,1,12
2022-02-01,2,3,4,1,12
2022-03-01,2,3,5,2,13
2022-04-01,2,3,6,2,12
2022-05-01,2,3,4,2,12
2022-06-01,2,2,4,2,11
2022-07-01,3,2,4,2,12
2022-08-01,2,2,4,2,15
2022-09-01,2,3,4,2,15
2022-10-01,3,3,4,2,12
2022-11-01,2,2,4,2,10
2022-12-01,2,2,4,2,10
2023-01-01,3,2,4,3,12
2023-02-01,3,3,4,3,12
2023-03-01,6,3,4,3,14
2023-04-01,29,2,4,4,15
2023-05-01,32,2,4,4,13
2023-06-01,35,2,3,4,12
2023-07-01,28,2,4,4,11
2023-08-01,28,2,4,4,13
2023-09-01,29,2,4,4,14
2023-10-01,28,2,4,3,12
2023-11-01,22,2,4,4,10
2023-12-01,24,2,4,4,10
2024-01-01,34,2,4,3,13
2024-02-01,33,3,4,3,12
2024-03-01,26,2,5,3,13
2024-04-01,26,2,4,3,13
2024-05-01,22,3,4,2,12
2024-06-01,21,2,4,2,12
2024-07-01,22,2,4,2,10
2024-08-01,20,2,5,3,11
2024-09-01,23,3,5,3,12
2024-10-01,21,3,5,2,11
2024-11-01,21,3,5,2,10
2024-12-01,24,2,4,2,9
2025-01-01,23,3,5,2,12
2025-02-01,21,2,5,2,12
2025-03-01,22,2,5,2,12
2025-04-01,20,2,4,2,12
2025-05-01,21,2,5,2,11
2025-06-01,22,3,5,2,10
2025-07-01,23,4,8,2,13
2025-08-01,59,16,26,4,25
2025-09-01,56,17,25,3,21
2025-10-01,49,15,21,2,18
2025-11-01,57,15,22,2,19
2025-12-01,60,20,25,3,26
2026-01-01,60,21,27,2,39
2026-02-01,73,40,100,2,100
2026-03-01,76,21,35,2,26
